LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID177541,177541,7,4046.19580078125,76.50705686417179,81.50314011791298,0.0,11.0,11,1.5,1,,3621.2380952380954,4016.0,1532.0,5833.0,76046.0,1420.3299231080753,1832.5714285714287,1614.0,321.0,3982.0,38484.0,1087.988123622155,0.29276616361449576,1.1547786468354675,0.07741732283464567,0.24205883974208126
ID177535,177535,7,3414.044677734375,76.52130878679925,81.51667377777281,0.0,12.0,12,1.5,1,,3081.3333333333335,3326.0,1267.0,4975.0,64708.0,1193.6562877701995,1808.2380952380952,1571.0,331.0,3891.0,37973.0,1075.9804321994848,0.29209587683675337,1.1671322609184545,0.07332412350590573,0.22961339854897983
ID177534,177534,3,3320.874755859375,96.4484100059029,91.69336461061822,0.0,16.0,16,1.5,1,,2929.0476190476193,2877.0,1372.0,4765.0,61510.0,1071.7420154211775,1407.857142857143,1223.0,288.0,2890.0,29565.0,849.4165224266765,0.2997324359946223,1.260509018730201,0.21683567162105846,0.5906995999637059
ID177533,177533,2,3312.471435546875,76.88549146830836,88.32425605052248,0.0,16.0,16,1.5,1,,2834.3809523809523,2645.0,1467.0,4732.0,59522.0,982.4833574259911,1911.1904761904761,1986.0,714.0,2952.0,40135.0,688.8765941043154,0.3069658036378407,1.355154422314945,0.19538346984363367,0.9069286285945407
ID177539,177539,2,4324.02783203125,76.90977979367534,88.36500842512886,0.0,17.0,17,1.5,1,,3699.5714285714284,3425.0,1930.0,6115.0,77691.0,1286.4012038018532,1884.904761904762,2014.0,750.0,2855.0,39583.0,680.992944512783,0.3089870602507076,1.3577190563951433,0.19081982994949623,0.8870625433065613
ID177540,177540,3,4209.984375,96.45509338801584,91.67332346155843,0.0,17.0,17,1.5,1,,3664.714285714286,3676.0,1653.0,6029.0,76959.0,1362.5368304327462,1377.095238095238,1209.0,282.0,2972.0,28919.0,845.7795755846735,0.30486533228210283,1.2567943362563627,0.21688635479018295,0.5803887520476178
ID177538,177538,3,4194.26806640625,96.43985588137902,91.70316132800758,0.0,18.0,18,1.5,1,,3647.0476190476193,3681.0,1687.0,5987.0,76588.0,1341.3045320206174,1392.047619047619,1256.0,271.0,2906.0,29233.0,853.2370992983414,0.30039115476612427,1.2561953202768845,0.2154335488431075,0.5783576345683985
ID177537,177537,2,4439.47900390625,76.9109296353384,88.3168242002324,0.0,18.0,18,1.5,1,,3708.0,3423.0,1873.0,6279.0,77868.0,1307.1113571536284,1897.7619047619048,1970.0,758.0,2866.0,39853.0,671.4934031516545,0.3105864086493856,1.3445405979344773,0.19476411930253215,0.9214181220131114
ID177542,177542,2,4322.6708984375,76.88065847762,88.3372688110109,0.0,19.0,19,1.5,1,,3708.3809523809523,3524.0,1919.0,6113.0,77876.0,1282.9986155951408,1897.3333333333333,1974.0,723.0,2887.0,39844.0,675.956606102295,0.3098392261325338,1.3674345750192805,0.1961752653147,0.9206705396694551
ID177543,177543,3,4136.470703125,96.45781348665714,91.6736461067232,0.0,19.0,19,1.5,1,,3683.5714285714284,3731.0,1637.0,5988.0,77355.0,1339.6675173873768,1370.4761904761904,1196.0,282.0,2919.0,28780.0,838.112857498775,0.3002370026725833,1.269824665496429,0.21790463696666418,0.5851297441830244
ID177558,177558,,3518.9375,106.56184733052324,74.93892284101814,0.0,20.0,20,1.5,1,,3030.190476190476,2834.0,1581.0,5019.0,63634.0,1066.6678311005548,1446.047619047619,1411.0,429.0,2622.0,30367.0,706.7770848146165,0.30657584382852143,1.333134705388759,0.2947609657304269,0.9315592936596943
ID177559,177559,2,4363.39453125,76.92697829517317,88.35113187036276,0.0,20.0,20,1.5,1,,3716.0,3456.0,1984.0,6191.0,78036.0,1291.5674972683387,1920.5714285714287,2012.0,724.0,2887.0,40332.0,680.5870680103003,0.3074066860592963,1.3529794528045707,0.19772375469113665,0.9317061294023089
ID177557,177557,,1790.23388671875,82.33523284720067,72.23989279187687,0.0,20.0,20,1.5,1,,1625.1904761904761,1583.0,768.0,2669.0,34129.0,552.2068108098287,1586.0,1498.0,796.0,2772.0,33306.0,606.6599541753188,0.2874556162794536,1.3142289741263606,0.3233405349027788,1.2775455326357945
ID177560,177560,3,4212.439453125,96.47273327103974,91.71005059400305,0.0,20.0,20,1.5,1,,3667.190476190476,3688.0,1745.0,6042.0,77011.0,1354.1383097397259,1392.1904761904761,1198.0,267.0,2997.0,29236.0,853.1565283725853,0.30258873675397274,1.2581889844689342,0.21997120741096207,0.5884589783369364
ID177546,177546,3,4175.6767578125,96.46399488071269,91.69644371926113,0.0,21.0,21,1.5,1,,3662.6190476190477,3732.0,1721.0,6007.0,76915.0,1345.4631349907165,1380.3333333333333,1202.0,278.0,3006.0,28987.0,857.5258207968628,0.29875721860119553,1.2523922619843804,0.21731461747629896,0.5747154445744431
ID177547,177547,5,2760.206787109375,63.32623711646191,108.20295629498719,0.0,21.0,21,1.5,1,,2440.9523809523807,2388.0,1313.0,3998.0,51260.0,825.1488033191636,1391.8095238095239,1321.0,405.0,2636.0,29228.0,688.1994346879122,0.3007428647554763,1.3679206595195226,0.2756425294191458,0.8740026000033854
ID177544,177544,4,4340.75537109375,106.58557567701736,74.98804586579676,0.0,21.0,21,1.5,1,,3715.2380952380954,3473.0,1882.0,6174.0,78020.0,1313.0028524250015,1438.142857142857,1448.0,450.0,2657.0,30201.0,709.357052951071,0.3081275935784047,1.3330040311836022,0.2981930138465755,0.9313766158805541
ID177545,177545,2,4400.08056640625,76.91273173154656,88.36649610285325,0.0,21.0,21,1.5,1,,3714.4761904761904,3459.0,1924.0,6225.0,78004.0,1311.974261144159,1907.4285714285713,2001.0,771.0,2879.0,40056.0,665.1122139480353,0.308462635242808,1.3348839113703448,0.19680451759644146,0.9431813390521205
ID177562,177562,4,4260.669921875,106.57771746251652,74.99461063616253,0.0,22.0,22,1.5,1,,3709.0,3499.0,1884.0,6119.0,77889.0,1286.4276116439664,1419.7619047619048,1379.0,432.0,2601.0,29815.0,693.8456532083994,0.3071694693384352,1.355025997082914,0.2926582086397607,0.9265303380461754
ID177563,177563,2,4339.599609375,76.87739400175772,88.38957922548596,0.0,22.0,22,1.5,1,,3737.6190476190477,3447.0,1887.0,6083.0,78490.0,1304.7058088393137,1917.7619047619048,2026.0,738.0,2879.0,40273.0,676.1800725222464,0.3108676001177426,1.3587171747577602,0.20110348941246642,0.9497329221711839
ID177564,177564,,766.7105102539062,96.38456994068439,91.68708601066069,0.0,22.0,22,1.5,1,,764.7142857142857,776.0,402.0,1225.0,16059.0,244.91225834105217,1388.095238095238,1238.0,290.0,2972.0,29150.0,853.9905095937487,0.25311640428395854,1.2613846833194173,0.2210191216202065,0.588441913438669
